feature,label
Which statement is true about the particles of a liquid compared to the particles of a gas? (A) Particles of a liquid are a slower and further apart. (B) Particles of a liquid are faster and farther apart. (C) Particles of a liquid are slower and closer together. (D) Particles of a liquid are faster and closer together.,matter_chemistry_atomic
Which generates waves that are capable of traveling through a vacuum? (A) a light bulb (B) a speaker (C) earthquake activity (D) volcanic eruption,energy_LIGHT_GENERICPROP
Which skill is a scientist using when sorting rocks into two groups based on physical appearance?    (A) inferring (B) classifying (C) generalizing (D) hypothesizing,matter_properties of material_CLASS
Which most accurately describes all behavior? (A) All behavior is affected only by experience. (B) All behavior is affected only by inheritance. (C) All behavior is affected neither by experience nor inheritance. (D) All behavior is affected by both experience and inheritance.,LIFE_environment and adaptation_animal adaptations_BEHAV
"According to a pH scale, which pH would be the strongest acid? (A) 3 (B) 6 (C) 9 (D) 12",matter_measurement_UNIT_PH
A duck's feathers are covered with a natural oil that keeps the duck dry. This is a special feature ducks have that helps them (A) feed their young (B) adapt to their environment (C) attract a mate (D) search for food,Life_functions_features and functions_animal_SKININTERGUM
"In a lab investigation, students had to identify different mineral specimens. Which property is the most reliable for identifying one mineral from another? (A) texture (B) hardness (C) crystal shape (D) surface color",science_INFERENCE_observation
"There are several theories that exist concerning the way dinosaurs became extinct. If new evidence is found that appears to challenge a particular theory on dinosaur extinction, what happens to the old theory? (A) It is replaced. (B) It is modified. (C) It becomes law. (D) It becomes suspect.",science_INFERENCE_FORMLAWS
"Appearance, texture, and density are classified as (A) physical properties. (B) chemical properties. (C) magnetic properties. (D) thermal properties.",matter_properties of objects
"Sometimes, large meteoroids enter the atmosphere of Earth and reach the ground. Scientists identify possible impact sites when they find (A) carbon deposits. (B) volcanic materials. (C) strike-slip faults. (D) bowl-shaped craters.",celestial_FEATURES_METEOR
Sydney is learning about the sources of energy that can run out. Which energy source will run out the fastest? (A) flowing water (B) natural gas (C) sunlight (D) wind,EARTH_human impacts_RES_NATGAS
Which statement explains why a mother's unhealthy diet during pregnancy is harmful to her embryo's development? (A) The embryo inherits half its chromosomes from its mother. (B) The embryo receives its food from its mother through the placenta. (C) The embryo receives oxygen through the placenta. (D) The embryo receives mutations carried by its mother.,Life_functions_features and functions_animal_REPRODUCTION
