feature,label
"Robert is a fisherman who wants to find a way to catch more fish. He decided to try different sizes of hooks. Robert caught 4 catfish, 3 trout, and 7 perch while using worms for bait. Which is the independent (manipulated) variable in Robert's investigation? (A) type of bait (B) size of hook (C) type of fish caught (D) number of fish caught",science_INFERENCE_experiment design
"To keep a heavy box sliding across a carpeted floor at constant speed, a person must continually exert a force on the box. This force is used primarily to overcome which of the following forces? (A) Air resistance (B) The weight of the box (C) The frictional force exerted by the floor on the box (D) The gravitational force exerted by the Earth on the box",forces and friction
A student wants to use photography to study a process that occurs during one year. Which of these actions would be best for the student to study? (A) a statue being weathered by acid rain (B) a glacier advancing and retreating (C) tree leaves changing colors (D) soil depth increasing,science_INFERENCE_observation
Which of the following items is necessary in a laboratory for safety purposes? (A) Triple-beam balance (B) Metric ruler (C) Computer monitor (D) Fire extinguisher,SAF_EQUIP
"Muscle cells need to quickly convert energy from food molecules into a usable form. For this reason, which of the following do muscle cells have in greater numbers than most other types of cells? (A) chromosomes (B) mitochondria (C) nuclei (D) vacuoles",Life_functions_features and functions_CELLBIO_STRUCT_MITO
"In 2005, a team of scientists discovered a photosynthetic bacteria living near the molten lava of a thermal vent ecosystem deep in the Pacific Ocean. The bacteria lived 2400 meters below the surface of the ocean, yet made energy from photosynthesis. Which conclusion best explains the results? (A) Photosynthesis can occur without light. (B) The hydrothermal vent emits usable light. (C) High water pressure can power photosynthesis. (D) The bacteria used to live at the ocean's surface.",science_INFERENCE_INFERENCE
Which two Life_processes occur in both plants and humans? (A) growing and reproducing (B) germinating and making food (C) growing and making food (D) germinating and reproducing,Life_cycle_plant  cycle
The following are inherited traits of humans except (A) long hair. (B) blue eyes. (C) long eyelashes. (D) small dimples.,Life_reproduction_DNA inheritance_inheritance
Signs in many stores and restaurants warn that microwaves are in use. What is the main reason for this warning? (A) Some people do not like food cooked in microwave ovens. (B) Microwaves sometimes affect people's sense of sight. (C) Microwaves sometimes cause hair or teeth to fall out. (D) Some people have pacemakers that may be affected by microwaves.,OTHER_DEVICE
"A light bulb manufacturer claims its light bulb is ""twice as bright"" per unit of electrical energy consumed as the leading light bulb. If this claim is correct, what factor must be accurately compared between the two bulbs? (A) how much each bulb weighs (B) how long each bulb lasts (C) how much heat each bulb releases (D) how much metal each bulb contains",energy_LIGHT_GENERICPROP
Which subatomic particles are involved in the nuclear fusion that powers the Sun? (A) protons and neutrons (B) electrons and protons (C) only protons (D) only electrons,celestial_FEATURES_STELLAR
Which characteristic is an example of learned behavior? (A) a bear hibernating in the winter (B) a spider spinning a web in a tree (C) a butterfly migrating to the south (D) a dog scratching at a door to go out,Life_reproduction_DNA inheritance_ACQUIRED
An engineer is analyzing which areas in a city might become flooded if there are heavy rains. Which of the following maps is best to use for this analysis? (A) a map showing the routes of city buses (B) a map showing the locations of streets (C) a map showing the locations of houses (D) a map showing the elevations of ground surfaces,science_MODELS
Which disease is correctly paired with the cause of the disease? (A) athlete's foot - fungi (B) malaria - viruses (C) influenza - bacteria (D) pneumonia - protists,LIFE_HEALTH_DIESEASE_INFECT
What season is it in the United States when the South Pole is tilted toward the Sun? (A) summer (B) fall (C) winter (D) spring,celestial_cycles
"Ana rolled her wagon down the ramp to reach the playground. There, she and her sister played on the seesaw. Which set of simple machines has Ana used? (A) Lever, pulley, and wedge (B) Pulley, inclined plane, and screw (C) Wedge, wheel and axle, and screw (D) Wheel and axle, inclined plane, and lever",FOR_MECH_SIMPLEMACHINES
Martin is writing a report for science class about how the tilt of Earth affects living organisms. Which subject should Martin include in his report that is directly affected by Earth's tilt? (A) night and day (B) cloud formation (C) phases of the Moon (D) changing of the seasons,celestial_cycles
Which sequence represents the order of development for many plants? (1) seed develops inside fruit -> seed is dispersed -> seed germinates -> plant grows (2) seed is dispersed -> seed develops inside fruit -> seed germinates -> plant grows (3) seed germinates -> plant grows -> seed is dispersed -> seed develops inside fruit (4) seed is dispersed -> plant grows -> seed germinates -> seed develops inside fruit,Life_cycle_plant  cycle
"In a lab investigation, a student notes that two metal blocks have the same mass. Based on this observation, if the two blocks were put on opposite sides of a balance, they would best represent (A) balanced forces. (B) unbalanced forces. (C) equal and opposite reactions. (D) objects in motion.",FOR_BALANCED
Which gas is released by producers that consumers take in to survive? (A) oxygen (B) nitrogen (C) water vapor (D) carbon dioxide,Life_functions_features and functions_PLANT_PHOTOSYNTH
Water evaporates and falls back to Earth as rain or snow. What is the primary energy source that drives this cycle? (A) The wind (B) The Sun (C) Air pressure (D) Ocean currents,EARTH_WEATHER_WATER cycle_SUN
Which body system protects the brain from getting bumped? (A) the circulatory system (B) the nervous system (C) the skeletal system (D) the digestive system,Life_functions_features and functions_animal_SKELETAL
Which scientist claimed that Earth was the center of the universe? (A) Aristotle (B) Copernicus (C) Einstein (D) Newton,OTHER_HIST
Which of the following is an example of sex-linked inheritance? (A) diabetes (B) cystic fibrosis (C) hemophilia (D) albinism,LIFE_HEALTH_DIESEASE_NONINFECT_GENETIC
Which process allows green plants to control the amount of water stored in their leaves? (A) photosynthesis (B) condensation (C) respiration (D) transpiration,Life_functions_features and functions_PLANT
Which of these is the BEST way to save animals and trees? (A) Ride bikes more (B) Make more farmland (C) Take care of forests (D) Move to the city,EARTH_human impacts_WHAT
What is the most likely reason the giant sloth became extinct in North America and Cuba? (A) disease (B) loss of habitat (C) climate change (D) humans as predators,EARTH_human impacts_WHAT_POPDEST
What is the first step in designing a product? (A) model a solution (B) communicate the solution (C) identify the need or want (D) build a prototype,OTHER_ENGINEERING
Which protist has starch granules in its cytoplasm? (A) amoeba (B) euglena (C) paramecium (D) volvox,Life_functions_features and functions_CELLBIO_UNIMULTICELL
Which species have been on the Earth for the shortest amount of time? (A) Humans (B) Insects (C) Fish (D) Reptiles,LIFE
Drew was measuring the growth of a vine that can grow almost 31 cm a day. Which would be the best way to record his data of the growth over a period of a day? (A) a bar graph (B) a line graph (C) a pie graph (D) a picture graph,science_GRAPH
Which statement best describes the nature of sound? (A) Sound travels fastest in air. (B) Sound travels faster than light. (C) Sound travels as longitudinal waves. (D) Sound travels as transverse waves.,energy_SOUND_GENERICPROP
A student used the dimmest setting on a light microscope to observe a euglena and an amoeba. The student shined a narrow beam of light at the top of the cover slip. She observed that the euglena swam up toward the light but the amoeba did not. She knew the amoeba was alive because it slowly changed shape while she watched. What inference should the student draw from her observation? (A) An amoeba can only move side to side. (B) An amoeba is unable to respond to light. (C) An amoeba moves too slowly to observe. (D) An amoeba only moves when it is hungry.,science_INFERENCE_INFERENCE
A cell releases energy from storage molecules on the inner surface of the membrane that surrounds the cell. The location of these molecules best indicates that the cell (A) is part of a multicellular organism. (B) is prokaryotic. (C) performs sexual reproduction. (D) is eukaryotic.,Life_functions_features and functions_CELLBIO_UNIMULTICELL
If soil is permeable (A) water cannot flow through it. (B) water easily flows through it. (C) it contains many minerals. (D) it contains few minerals.,EARTH_SOIL_COMPONENTS
"Rocks are classified as sedimentary, metamorphic, or igneous on the basis of the (1) age of the rocks (2) way the rocks were formed (3) types of fossils the rocks contain (4) number of minerals found in the rocks",EARTH_GEO_ROCK
"Fossil bones and teeth of dinosaurs have been researched for the last century. Recent discoveries of fossilized dinosaurs have also revealed details of soft tissues, such as skin. Which is best for a scientist to do when reporting research on dinosaurs now? (A) exclude research on teeth or bones (B) predict what the next discovery will be (C) analyze new data as it becomes available (D) delete earlier reports that were missing the new findings",science_INFERENCE_REPORT
Which of the following is a crucial piece of evidence supporting scientists' theory of how the continents and the ocean basins formed? (A) Gravitational forces result in the fusion of small atoms. (B) A differentiated iron core expresses magnetic properties. (C) Currents redistribute heat in an unevenly heated liquid. (D) A stream of charged ions disperses lightweight gases.,EARTH_GEO_FORMATIONS_EARTH_INNER_generic plate
The crews of two boats at sea can communicate with each other by shouting. Why is it impossible for the crews of two spaceships a similar distance apart in space to do this? (A) The sound is reflected more in space. (B) The pressure is too high inside the spaceships. (C) The spaceships are traveling faster than sound. (D) There is no air in space for the sound to travel through.,energy_SOUND_GENERICPROP
Turgor pressure in the cells of plant roots is strong enough to eventually crack the rocks in which they grow. What machine redirects force this way? (A) a pulley (B) a wedge (C) an inclined plane (D) a wheel and axle,FOR_MECH_SIMPLEMACHINES
Mars is an inner planet and Jupiter is an outer planet. Which best describes the relationship between the two planets? (A) They are made of the same materials. (B) They orbit the Sun in opposite directions. (C) They have the same orbital periods around the Sun. (D) They are located on opposite sides of the asteroid belt.,celestial_FEATURES_SOLARSYSTEMS
Living organisms require energy for biological processes. Chemical energy in a plant cell is (A) produced in vacuoles. (B) converted from solar energy. (C) developed by centrioles. (D) stored as kinetic energy.,Life_functions_features and functions_PLANT_PHOTOSYNTH
"In an ecosystem, which list of organisms is in the correct order from producer to top-level consumer? (A) field mouse, grass, hawk snake (B) snake, field mouse, hawk, grass (C) grass, field mouse, snake, hawk (D) snake, grass, field mouse, hawk",LIFE_interdependency_FOODCHAIN_DEF
Adaptive characteristics that help dolphins survive Life_in the ocean include all of these except (A) their sleek skin. (B) swimming very fast. (C) their body shape. (D) traveling alone.,LIFE_environment and adaptation_ADAP_animal
A student is creating a model of a stream in a forested mountain watershed. Which of these features might be included in the model to show how the stream could overload with sediment? (A) a cabin near the stream (B) rocks in the middle of the stream (C) acres of cleared forest above the stream (D) grasses growing along the banks of the stream,science_MODELS
Which of these scientific advances occurred first? (A) the invention of the telescope (B) the building of submarines (C) the generation of electricity (D) the breeding of plants,OTHER_HIST
"In a turtle race, each turtle walks one a 3-meter track. If the turtles walk one at a time, how can you tell which turtle was fastest? (A) The turtle that started first is fastest. (B) The turtle that finished first is fastest. (C) The turtle that took the shortest time is fastest. (D) The turtle that took the longest time is fastest.",force_velocity
A class tested the amount of vitamin C in fresh orange juice and calculated a different amount than the previous class that conducted the same investigation. What should most likely be done to make sure that their results are accurate? (A) try a different juice (B) analyze the recorded data (C) ask a scientist what went wrong (D) repeat the investigation two more times,science_INFERENCE_VERIFication
Scientists think that dolphins and whales may have evolved from a common ancestor. What evidence supports this hypothesis? (A) They swim the same way. (B) They eat the same food. (C) They live in the same area of the ocean. (D) They have similar anatomies.,LIFE_CLASSIFICATION
A serotinous cone is a seed enclosure that requires intense heat to open. When would a population of trees most benefit from having serotinous cones?  (A) after a drought (B) after a heat wave (C) after a forest fire (D) after a tornado,Life_functions_environmental conditions_PLANT
