feature,label
Which statement is true about the particles of a liquid compared to the particles of a gas? (A) Particles of a liquid are a slower and further apart. (B) Particles of a liquid are faster and farther apart. (C) Particles of a liquid are slower and closer together. (D) Particles of a liquid are faster and closer together.,matter_chemistry_atomic
Which generates waves that are capable of traveling through a vacuum? (A) a light bulb (B) a speaker (C) earthquake activity (D) volcanic eruption,energy_LIGHT_GENERICPROP
Which skill is a scientist using when sorting rocks into two groups based on physical appearance?    (A) inferring (B) classifying (C) generalizing (D) hypothesizing,matter_properties of material_CLASS
Which most accurately describes all behavior? (A) All behavior is affected only by experience. (B) All behavior is affected only by inheritance. (C) All behavior is affected neither by experience nor inheritance. (D) All behavior is affected by both experience and inheritance.,LIFE_environment and adaptation_animal adaptations_BEHAV
A duck's feathers are covered with a natural oil that keeps the duck dry. This is a special feature ducks have that helps them (A) feed their young (B) adapt to their environment (C) attract a mate (D) search for food,Life_functions_features and functions_animal_SKININTERGUM
"A species of moth in England has both a light-colored form and a dark-colored form. In the mid-1800s, the percentage of dark-colored moths increased in areas where black soot from factories covered the trees. The soot in these areas has decreased in more recent times as a result of pollution laws. Which of the following statements describes what has most likely happened to the moth populations in these areas? (A) The moth populations went extinct. (B) The moth populations migrated south. (C) The percentage of light-colored moths in the populations decreased. (D) The percentage of dark-colored moths in the populations decreased.",LIFE_environment and adaptation_NATSEL
"In a lab investigation, students had to identify different mineral specimens. Which property is the most reliable for identifying one mineral from another? (A) texture (B) hardness (C) crystal shape (D) surface color",science_INFERENCE_observation
"There are several theories that exist concerning the way dinosaurs became extinct. If new evidence is found that appears to challenge a particular theory on dinosaur extinction, what happens to the old theory? (A) It is replaced. (B) It is modified. (C) It becomes law. (D) It becomes suspect.",science_INFERENCE_FORMLAWS
What happens to the water vapor in an air mass as it ascends? (A) It freezes. (B) It condenses. (C) It vaporizes. (D) It polarizes.,EARTH_WEATHER_WATER cycle_EVAPCOND
"Appearance, texture, and density are classified as (A) physical properties. (B) chemical properties. (C) magnetic properties. (D) thermal properties.",matter_properties of objects
A group of students have decided that the amount of electricity used by the school should be reduced. The students want to develop a plan to solve this problem. What should the group do first? (A) determine what materials should be used to implement the plan (B) conduct research on energy conservation to form the plan (C) improve the design of the plan (D) test the validity of the plan,science_INFERENCE_STEPS
