feature,label
" -  So, what we're gonna think about in this video is multiplying fractions. So, let's say that we wanted to take 2/3 and we want to multiply it by four, what is this going to be equal to? Pause this video and try to think about it on your own. Alright, now let's work through this together. And, to help us, I will use a number line, and let's say that each of these hash marks represent a third. So, this is zero, this is 1/3, 2/3, 3/3, 4/3, 5/3, 6/3, 7/3, 8/3, and 9/3, and so where is 2/3 times one? Well, 2/3 times one is just going to be 2/3, we just take a jump of 2/3, so that is times 1. If we multiply by, or if we take 2/3 times two, that'll be two jumps, so one 2/3, two 2/3, three 2/3, and then four 2/3. So, we just took four jumps of 2/3 each. You could view that as 2/3 plus 2/3 plus 2/3 plus 2/3, and where does that get us to? It got us to 8/3. So, notice, 2/3 times four is equal to 8/3. Now, we could go the other way, we could look at a number line and think about what are ways to represent what the number line is showing us? And, on Khan Academy, we have some example problems that do it that way, so I thought it would be good to do an example like that. And, so, let's label this number line a little bit different. Instead of each of these lines representing a third, let's say they represent a half, so zero, 1/2, 2/2, 3/2, 4/2, 5/2, why did I write 5/6, my brain is going ahead, 5/2, 6/2, 7/2, 8/2, and 9/2. And, let's say we were to see something like this. So, if you were to just see this representation, so I'm going to try to draw it like this, so if you were to just see this representation, what is that trying to represent? What type of multiplication is that trying to represent? Well, you could view that as 3/2 plus another 3/2 plus another 3/2, 'cause, notice, each of these jumps are three 1/2, or 3/2. So, you could view this as 3/2 plus 3/2 plus 3/2, or another way of thinking about it is this is three jumps of 3/2. So, you can also view this as doing the same thing as three times 3/2, and what are these equal to? Well, 3/2 plus 3/2 plus 3/2, or three times 3/2, it gets you to 9/2.",math_cc-fourth-grade-math_4th-multiply-fractions
" -  Where is the point on the number line? Well, here it is, here is the point. But I'm guessing that they're asking not literally just to find it and look at it but what number is this point graphed at. Where is this on the number line? So, one thing we know pretty quickly is the number is between three and four. It's greater than three but it's not quite four. But to figure out how much greater than three we need to know what these black tick marks represent. So, between three and four there is one, two, three, four, five, six, seven, eight, nine, ten equal spaces. So, each of these distances, each of these equal spaces, is one tenth or one tenth of the distance between three and four. It's one out of ten equal spaces. So, if that's one tenth and this next space is another one tenth. And then we have to travel one more tenth to get to our point. So, we went three, we know it's three. Plus, one, two, three tenths. Three and three tenths. Or, let's write this as a decimal, let's look at it as a decimal. If we wanted, we could have our ones place value and then after the ones, the decimal and the tenths. So, for the ones, there's three ones. And how many tenths did we see here? There were three tenths. So, either way we can say three and three tenths or three and three tenths. Our decimal, our point is 3.3 on the number line.",math_cc-fourth-grade-math_imp-decimals
"  In this video I want to clarify a little bit about why we calculate the percent changes when we're thinking about elasticity the way that we do. So just to remind ourselves, a little focus on price elasticity of demand, although we've been exposed to other types of elasticities already. Just as a review, price elasticity of demand, so the elasticity of demand, is defined as the percent change in quantity demanded over the percent change in price. So first I'll calculate it the conventional way, the way you would do it in a traditional microeconomics class. Then I'll calculate it the way that you would just based on how you would traditionally calculate percentages and we'll see why microeconomists like to do it the way that they do. First we'll talk about the ""correct"" way. I'll put it in quotes because correct is by definition really just by convention. But when we first think about the percent change in quantity, percent change in quantity and we're going to assume, we're going to calculate the elasticity of demand between point A over here, point A and point B over here. So what is our percent change in quantity? Well, our absolute change in quantity going from A to B we have increased by 2. So we have increased by 2. I'll write it down here. This is going to be 2 over and then this is kind of the slightly strange thing that we do when we calculate our percentages. We don't say 2 over 4. We say 2 over the average of 4 and 6. It's 2 over the average of our starting point and our ending point. The average of 4 and 6 is 5. So this is going to be ... We have a 40% change based on how we calculated the percentages in our quantity demanded, and then let's do our percent change in price. So this is all going to be over our percent change in price. Our absolute change in price is negative 1 dollar. Negative 1 dollar and then instead of doing it over our starting point over 2, we do it over the average of the 2, over 150. Negative 1 over 150 is negative two-thirds, or right about negative 66.7% if we say roughly. So this right over here ... so based on how we calculated percentages, and I want to make it clear, this is kind of a strange way, when we do it over the midpoint of the starting and ending points, but we're saying that our percent change from A to B in quantity, so our percent change in quantity, this right over here we are saying it is 40%, and then we are saying that this percent change in price right over here is negative 66.7%. Now, the reason why this is valuable, and then obviously if you do the math right here, 40% over negative 66.7% percent, you're going to get some let's see you're going to get something. I think it's going to be in the 6s. Point 6 something but let's actually get a calculator out to calculate it. It would be 40 divided by 66.7 gives you, it's almost 60 so it's roughly point 60 if we were to round. This is approximately 0.60. It was 597 something. Actually I'll just leave it that way at point 60. Now, what's cool about this or what's useful about this, and this is the reason why we kind of mis-do it is, you would get the same answer whether you're going from A to B or whether you're going from B to A. This is the situation where we're going from A to B, but if we were to go from B to A, if we were to go from B to A it's the exact same thing. If we go from B to A what is our change in quantity? Our change in quantity is negative 2. It would be negative 2 over, now you wouldn't do it over your starting point. You do it over the average. This is why we will get the same value regardless of what direction we go in. We get the average of 4 and 6 is going to be 5. That's going to be over. Now going from B to A what is our change in price? Our change in price is now plus 1. It is plus 1 over the average of our starting point and our ending point, over 150. Now these are the exact same quantities. Both are going to be a negative number. Here the negative is on the bottom. Here the negative is on top. Either way and actually this was a negative point 60 because you have a positive divided by a negative. This too when you evaluate it, is going to turn out to be the exact same thing. It's going to be negative 0.60. Now if you calculated percentages in the traditional way, you would not get the same value for the price elasticity of demand, whether you go from A to B and B to A. Just to show that to you, I will put this in quotation marks. It's not the ""wrong"" way to do it in general. In fact, this is how you would calculate price changes traditionally, but it's not how you do it in kind of a microeconomic sense. If you did the wrong way ... If you said from A to B your absolute change in quantity is plus 2 and your base ... Remember this is the way that it's done outside of microeconomics. Your base is 4 and then your change in price, you went down 1 and your base, you started at A, so your base is 2. This is the way you do it outside of economics class. This would be equal to 50% plus 50% over negative 50%, over negative 50%. You essentially get negative 1. Going from A to B using a traditional way of calculating percent change. What happens if you go from B to A? What happens if you go from B to A? Now, all of the sudden, your change in quantity is negative 2. Your base is now ... the starting point is 6. Your starting point is 6. Then your change in price, once again you're increasing in price by 1 going from B to A, so this is plus 1. Your base is now 1. You will get, this is negative 33% roughly, that's negative a third, so 33.333, it keeps repeating over 100%. This will be equal to negative point 33. Notice when you calculate percentages in the traditional way, you get a different answer whether you're going from A to B or whether you're going from B to A. The whole reason why when we take the percentages, we take it over the average of our starting and our ending points, over the average of our starting and ending points. is so we get the same value for the elasticity of demand along this portion of the curve. You can really view it as the average elasticity of demand over this portion of the curve and if you calculate it this way, it doesn't matter whether you're going from A to B or B to A.",economics-finance-domain_microeconomics_elasticity-tutorial
"  Let's review the unit circle definition of trig functions a little bit. Right over here I've draw a unit circle, and when we say a unit circle we're talking about a circle with radius one. For example this point right over here is the point one comma zero. X is equal to one, Y is zero. This point is the point zero comma one. This is the point negative one comma zero and this is the point zero comma negative one. The radius over here, the distance from the center of the circle which is at the origin to any point in the circle or any point on the circle, I should say, this radius is equal to one. The unit circle definition of trig functions leverages this unit circle, that's why it's called the unit circle definition, and we saw that if we define an angle as the bottom side of the angle being along the positive x-axis and then the other side of that angle, thinking about where it intersects the unit circle. Let's say this is the angle theta. We define sine of theta and cosine of theta, or cosine theta and sine of theta as the x and y coordinates of this point at which this side of the angle, the side that is not the positive x-axis, where that intersects the unit circle. For example this point right over here. We would call this, the x coordinate of this point, so this value right over here, we would call that cosine of theta. The y coordinate of that point, which is this point right over here, we would call that sine of theta. In the previous videos on the unit circle we talked about why this is really just a natural extension of the so cah toa definition. What's useful is it starts to work for negative angles, it even works for 90 degree angles, it works for angles more than 90 degrees, it works for angles less than 90 degrees, so it's really, really, really useful. What I want to do is leverage what we already know about the unit circle definition of trig functions to help prove the Pythagorean identity. It almost falls out of the fact that this point right over here is on a circle, a circle of radius one. What is the equation of a circle with radius one centered at the origin? Well the equation of that is x squared, x squared ... We have other videos where we really prove this using the distance formula, which is really just an application of the Pythagorean theorem. The equation of a unit circle centered at the origin is x squared plus y squared is equal to one, is equal to the radius squared. This distance right over here is equal to one. We've already said that we're defining cosine of theta as the x coordinate of this point and we're defining sine of theta at the y coordinate of this point and this point is sitting on the circle. It has to satisfy this relationship right over here. That means if we're defining cosine of theta to be the x, to be this x value, sine of theta to be the y value and it has to satisfy this relationship that means that cosine of theta squared plus sine squared of theta needs to be equal to one. Or sine square theta plus cosine squared of theta needs to be equal to one. That's just from the point. This is the x, cosine theta is the x coordinate, sine theta is the y coordinate. They have to satisfy this relationship which defines a circle so cosine squared theta plus sine squared theta is one. This is called, as we've seen in other videos, this is called the Pythagorean identity. You say, ""Why is that useful?"" Well using this, if you know sine of theta you can figure out what cosine of theta is going to be, or vice versa. And if you know one of cosine of theta and then you could -- Say you know cosine theta then you use this to figure out sine of theta, then you can figure out tangent of theta because tangent of theta is just sine over cosine. If you're a little bit confused as to why this is called the Pythagorean identity, well it really just falls out of where the equation of a circle even came from. If we look at this point right over here, we look at this point right over here, which we're saying is the x coordinate is cosine theta and the y coordinate is sine of theta, what is the distance between that point and the origin? Well to think about that we can construct a right triangle. This distance right over here. So that we could deal with any quadrant I'll make it the absolute value of the cosine theta is this distance right over here. And this distance right over here is the absolute value of the sine of theta. I obviously don't have to take the absolute value for this first quadrant here but if I went into the other quadrants and I were to setup a similar right triangle then the absolute value is at play. What do we know from the Pythagorean theorem? This is a right triangle here, the hypotenuse has length one, so we know that this expression squared, the absolute value of cosine of theta squared, plus this expression squared, which is this length, plus the absolute value of the sine of theta squared needs to be equal to the length of the hypotenuse squared, which is the same thing which is going to be equal to one squared. Or we could say, this is the same thing. If you're going to square something the sign, if negative it's going to be negative times a negative so it's just going to be positive so this is going to be the same thing as saying that the cosine squared theta plus sine squared theta is equal to one. This is why it's called the Pythagorean identity. Actually that's even where the equation of a circle comes from, it comes straight out of the Pythagorean theorem where your hypotenuse has length one.",math_trigonometry_unit-circle-trig-func
" -  A food scientist wants to estimate the difference between the mean weights of eggs classified as jumbo and large. They plan on taking a sample of each type of egg to construct a two-sample t interval. Which of the following are conditions for this type of interval? So before I even look at these choices, and they say choose all answers that apply, so it might be more than one, let's just think about what the conditions for inference for this type of interval actually are. So we've done this many times in many different contexts, and so we first of all have the random condition. And that's the idea that each of our samples are random or we are conducting some type of an experiment where we randomly assign folks to one or eggs in this case to one of two groups. In this case we are taking two samples, and we would hope that they are truly random samples. The second is the normal condition, and the normal condition is a little bit different depending on whether we're talking about means or whether we're talking about proportions. The random condition is essentially the same. The normal condition when we're talking about means, remember they're looking at the difference between mean weights of eggs, is you would want your, there's actually several ways to meet the normal condition. One is is if the underlying distribution is normal. The second way is if your sample sizes for each of your samples are greater than or equal to 30. So if your first sample size is greater than or equal to 30 and your second sample size is greater than or equal to 30. Or even if the underlying data you don't know if it's normal or if it isn't normal, and even if you aren't able to meet these, as long as your sample data is roughly symmetric and not skewed heavily in one way or the other, then that also roughly meets the normal condition when we're dealing with means. And then the third condition, and we see this whether we're dealing with means or proportions or differences of means or differences of proportions, is the independence condition. And this is the idea that either your individual observations are done with replacement in both of your samples or that the sample size for both of your samples is no more than 10% of the population. Then you have met this condition. So with that little bit of a review, let's see which of these apply. They observe at least 10 heavy eggs and 10 light eggs in each sample. So this actually is the normal condition when we are dealing with proportions, not for means. So I would rule this out. It's a good distractor choice. The eggs in each sample are randomly selected from their population. Yep, that's the random condition right over there, so I would select that. They sample an equal number of each type of egg. So this is a common misconception, that whether we're dealing with means or proportions, when we're thinking about the difference between say means or the difference between proportions, that somehow your sample sizes have to be the exact same. That is not the case. Your sample sizes do not have to be the exact case. Or do not have to be the exact same. So we would rule this out as well. So right over here, they have listed the random condition. They could've also listed the normal condition and the independence condition.",math_ap-statistics_two-sample-inference
" -  We're told, the table gives the amounts of materials Aya recycled. So we have the different materials here, and then it gives the various amounts. How many kilograms of paper and aluminum did Aya recycle? So pause this video and see if you can figure this out. Okay, so we're thinking about paper and aluminum, so paper is right over here. She recycled 277 kilograms of paper. And aluminum is right over here. She recycled 134 kilograms of aluminum. And so we want the combination, or the sum, of paper and aluminum, so it's going to be 277 kilograms plus 134 kilograms. So we really need to figure out what 277 plus 134 is, and in multiple videos, we have talked about how there's many different ways of approaching this. We could say, well let's just break up the 134. We could start at, actually let me do this on a number line. That sometimes is a fun thing to do. So if we were to just say, this is our number line, and we're going to start at 277 right over there. So first, we could add 100, because we have 100 right over there, so let's do that. If we add 100, so plus 100, where does it get us? Well if we add 100 here, we get to 377. So 300, I'll just write, 77. And then we could add three 10s, or 30. So then we're going to add 30. So let's add 30, so plus 30. What does that get us? So this is interesting. If you add 30 to 370, you would get to 400, and then we have another seven there, so that gets us to 407. So then we get to 407. And once again, this is just one way to try to think about it. And then, last but not least, we could add the four. So then you say, we're there right now, and then we add plus four, and seven plus four is 11, so 407 plus four is 411. So how many kilograms of paper and aluminum did Aya recycle? Would be 411 kilograms. Kilo, kilograms, and we're done.",math_arithmetic_arith-review-add-subtract
" f is a linear function whose table of values is shown below. And they give us three different x-values and the corresponding f of x values. Which graphs show functions that are increasing faster than f? So when we're talking about increasing faster, we're really talking about a higher rate of change of y with respect to f, or a higher rate of change of the vertical axis with respect to the horizontal axis, which is another way of saying which of these have a steeper slope than the function f? So let's see what the change in our vertical axis is with respect to our change in our horizontal axis. Once again, the Greek letter-- this triangle is the Greek letter delta, which is shorthand for ""change in."" So this is the change in f over the change in x. So we see over here, when x changes by 1, the value of our function changes by positive 5. And it's linear, so that's true. Between any two points, the ratio between our change in f and our change in x is the same. If we go up 1 again, we have plus 1 in the x-direction, we are once again increasing by 5. If you start from this point and go all the way here, so if you go plus 2 along x, you're going to go plus 10 along f. So it would be 10 over 2, which is still 5. So either way, the slope, or the rate of change of the vertical axis with respect to the horizontal axis, is 5 for f. Now, let's see which of these increase faster. Well, a isn't even increasing. So A is decreasing. As x increases, y is decreasing. So that definitely can't be the case. If we look at this one right over here, it looks like-- let's see, if we start over here, if we increase 1 along the x-direction, if our change in x is 1, it looks like our change in y is exactly 5-- 1, 2, 3, 4, 5. So it looks like for choice B, our slope is exactly 5, or our change in y over change in x is exactly 5. So it's not increasing faster than f. It's increasing the same as f. Now let's look at C. So I'm going to try to find a point where it looks like I have an integer point right over here. So that's the point, negative 3, negative 3. And if I move 1 in the x-direction, it looks like I'm increasing by more than 5. I'm increasing 1, 2, 3, 4, 5, 6, 7, 8, it looks like. So this one looks like it has a slope of 8. So this one is increasing faster than f, so we'll circle that right over there. And now let's look at this choice. So if we start right over here-- and I just picked this point because that's at a nice integer coordinate. It's at the point 2, negative 4. If we increase x by 1, then we increase y by 1, 2, 3-- looks like about 3 and 1/2, definitely not 5. In order for it to increase as fast as f, it would have to increase by 5, so it would have to be up here. So it would have to go 1, 2, 3, 4, 5. It would have had to have been up here. The line would've looked something more like that just to match f, much less grow faster than f. So D does not meet the criteria. It is only C.",math_cc-eighth-grade-math_cc-8th-linear-equations-functions
" In this video and the next few videos, we're just really going to be doing a bunch of calculations about this data set right over here. And hopefully, just going through those calculations will give you an intuitive sense of what the analysis of variance is all about. Now, the first thing I want to do in this video is calculate the total sum of squares. So I'll call that SST. SS-- sum of squares total. And you could view it as really the numerator when you calculate variance. So you're just going to take the distance between each of these data points and the mean of all of these data points, square them, and just take that sum. We're not going to divide by the degree of freedom, which you would normally do if you were calculating sample variance. Now, what is this going to be? Well, the first thing we need to do, we have to figure out the mean of all of this stuff over here. And I'm actually going to call that the grand mean. And I'm going to show you in a second that it's the same thing as the mean of the means of each of these data sets. So let's calculate the grand mean. So it's going to be 3 plus 2 plus 1 plus 5 plus 3 plus 4 plus 5 plus 6 plus 7. And then we have nine data points here so we'll divide by 9. And what is this going to be equal to? 3 plus 2 plus 1 is 6. 6 plus-- let me just add. So these are 6. 5 plus 3 plus 4 is 12. And then 5 plus 6 plus 7 is 18. And then 6 plus 12 is 18 plus another 18 is 36, divided by 9 is equal to 4. And let me show you that that's the exact same thing as the mean of the means. So the mean of this group 1 over here-- let me do it in that same green-- the mean of group 1 over here is 3 plus 2 plus 1. That's that 6 right over here, divided by 3 data points so that will be equal to 2. The mean of group 2, the sum here is 12. We saw that right over here. 5 plus 3 plus 4 is 12, divided by 3 is 4 because we have three data points. And then the mean of group 3, 5 plus 6 plus 7 is 18 divided by 3 is 6. So if you were to take the mean of the means, which is another way of viewing this grand mean, you have 2 plus 4 plus 6, which is 12, divided by 3 means here. And once again, you would get 4. So you could view this as the mean of all of the data in all of the groups or the mean of the means of each of these groups. But either way, now that we've calculated it, we can actually figure out the total sum of squares. So let's do that. So it's going to be equal to 3 minus 4-- the 4 is this 4 right over here-- squared plus 2 minus 4 squared plus 1 minus 4 squared. Now, I'll do these guys over here in purple. Plus 5 minus 4 squared plus 3 minus 4 squared plus 4 minus 4 squared. Let me scroll over a little bit. Now, we only have three left, plus 5 minus 4 squared plus 6 minus 4 squared plus 7 minus 4 squared. And what does this give us? So up here, this is going to be equal to 3 minus 4. Difference is 1. You square it. It's actually negative 1, but you square it, you get 1, plus you get negative 2 squared is 4, plus negative 3 squared. Negative 3 squared is 9. And then we have here in the magenta 5 minus 4 is 1 squared is still 1. 3 minus 4 squared is 1. You square it again, you still get 1. And then 4 minus 4 is just 0. So we could-- well, I'll just write the 0 there just to show you that we actually calculated that. And then we have these last three data points. 5 minus 4 squared. That's 1. 6 minus 4 squared. That is 4, right? That's 2 squared. And then plus 7 minus 4 is 3 squared is 9. So what's this going to be equal to? So I have 1 plus 4 plus 9 right over here. That's 5 plus 9. This right over here is 14, right? 5 plus-- yup, 14. And then we also have another 14 right over here because we have a 1 plus 4 plus 9. So that right over there is also 14. And then we have 2 over here. So it's going to be 28-- 14 times 2, 14 plus 14 is 28-- plus 2 is 30. Is equal to 30. So our total sum of squares-- and actually, if we wanted the variance here, we would divide this by the degrees of freedom. And we've learned multiple times the degrees of freedom here so let's say that we have-- so we know that we have m groups over here. So let me just write it as m and I'm not going to prove things rigorously here, but I want to show you where some of these strange formulas that show up in statistics books actually come from without proving it rigorously. More to give you the intuition. So we have m groups here. And each group here has n members. So how many total members do we have here? Well, we had m times n or 9, right? 3 times 3 total members. So our degrees of freedom-- and remember, you have however many data points you had minus 1 degrees of freedom because if you know the mean of means, if you assume you knew that, then only 9 minus 1, only eight of these are going to give you new information because if you know that, you could calculate the last one. Or it really doesn't have to be the last one. If you have the other eight, you could calculate this one. If you have eight of them, you could always calculate the ninth one using the mean of means. So one way to think about it is that there's only eight independent measurements here. Or if we want to talk generally, there are m times n-- so that tells us the total number of samples-- minus 1 degrees of freedom. And if we were actually calculating the variance here, we would just divide 30 by m times n minus 1 or this is another way of saying eight degrees of freedom for this exact example. We would take 30 divided by 8 and we would actually have the variance for this entire group, for the group of nine when you combine them. I'll leave you here in this video. In the next video, we're going to try to figure out how much of this total variance, how much of this total squared sum, total variation comes from the variation within each of these groups versus the variation between the groups. And I think you get a sense of where this whole analysis of variance is coming from. It's the sense that, look, there's a variance of this entire sample of nine, but some of that variance-- if these groups are different in some way-- might come from the variation from being in different groups versus the variation from being within a group. And we're going to calculate those two things and we're going to see that they're going to add up to the total squared sum variation.",math_statistics-probability_analysis-of-variance-anova-library
" -  You are already likely familiar with the notion that a dollar in the U.S., a U.S. dollar is not necessarily equivalent to one currency unit in another country, say one Euro. And so if you were traveling to that country, and you are holding dollars, and you needed to exchange those dollars into Euros, you'd say, well how many Euros am I going to get for my dollars? Or if you were European, and you had a certain number of Euro, and you said how many dollars am I going to get for my Euros, you would be thinking about the exchange rate. And it's not just about if you're a tourist or you're traveling, it's also very important if you're an importer and exporter. If you make, say cars, in the United States, where all of your costs are in dollars, but you're selling them in Europe where you're getting your money in terms of Euros, and then you have to convert them back to dollars to pay your costs, well the idea of an exchange rate matters a lot. And so, first let's make tangible what an exchange rate even looks like. And there's many different ways of representing it. The first thing to appreciate, if someone says what's the exchange rate for the U.S. dollar, your next reaction should be, with regards to what other currency? So if I said, what's the exchange rate of the U.S. dollar with respect to the Euro, you could express that as one U.S. dollar, U.S. dollar, is equal to how many Euros? And at the time of this video, it's actually 0.87 Euros. Now another way to express this is one Euro, one Euro is equal to how many U.S. dollars? And if you know this first equation, you can figure out the second one. You would essentially just divide both sides by 0.87. If you divide this by 0.87 you get one. If you divide one by 0.87, you are going to get approximately 1.15. And so at the time of this video, 1.15 U.S. dollars is equal to one Euro. Or another way to think about it is, if you took a dollar and 15 cents in the U.S. and convert it to Euros, you would get one Euro. And there's other ways of expressing it. You could say what is the price of a U.S. dollar, so price of the U.S. dollar in terms of Euro, in terms of Euro. So this is, how much would it cost to buy one U.S. dollar in terms of Euros? Well you could just look at this over here, and you could say, well, one U.S. dollar is going to cost 0.87 Euros. Or you could say 0.87 Euros, Euros per U.S., per U.S. dollar. And if you were to go the other way around, if you wanted the price of the Euro, price of the Euro in terms, terms of the U.S. dollar, U.S. dollar, well that would be the other right way around. One Euro would cost $1.15. So this would be 1.15 U.S. dollars, dollars per Euro. Now with all of this out of the way, let's actually do some calculations. Let's imagine that in the United States a yellow box goes for $20. These yellow boxes are in high demand. Someone from Europe wants to buy one of these yellow boxes, and they need to buy it for 20 U.S. dollars, but they only have Euro. How many Euro would they need in order to buy that box for 20 U.S. dollars. Well if one U.S. dollar is equal 0.87 Euros, then 20 U.S. dollars is going to be 20 times as many Euros. So we could say $20 times 0.87 Euro per dollar. This symbol right over here is shorthand for Euro. And so you are going to get, let's see, that would be 17, approximately, approximately 17.40 Euro. And if it went the other way around. Let's say that red boxes are available for purchase only in Europe for 20 Euro. An American tourist goes there, and wants to figure out how many U.S. dollars would they have to convert in order to be able to pay for one of these red boxes that are 20 Euro? Well here we see one Euro is equal to 1.15 U.S. dollars. So here you would say 20 Euro times 1.15 U.S. dollars, dollar per Euro, and so what is this going to be? This is going to be 20 times 1.15, which is going to be 23 U.S. dollars. 23 U.S. dollars. Now another idea, a related idea to this, is this notion that currencies can appreciate and depreciate. So let's say that the Euro appreciates, appreciates, and it always matters relative to something. So you say relative to the dollar. So the Euro appreciates relative to the dollar. Come up with an exchange rate that would show the Euro appreciating relative to the dollar with this as a starting point. So one scenario where this is happening is if this was where you are starting, one Euro would now be more U.S. dollars, more than 1.15 U.S. dollars. So you have one Euro, would now be equal to, maybe it's equal to $1.20 now. So it's now equal to $1.20. Now if someone said the dollar appreciates relative to the Euro, then it would go the other way around. That might be one U.S. dollars is now equivalent to .9 Euros, or maybe one Euro, or 1.05 Euros. And similarly, if someone says that the Euro depreciates, depreciates relative, relative to the dollar. That's another way of saying that the dollar has appreciated relative to the Euro. So this could be a situation where if the Euro's depreciating relative to the dollar from this place right over here, one Euro, one Euro is now equal to fewer dollars. And maybe it's now equal to $1.05. And with this as a starting point, this would also be a situation where the dollar has appreciated relative to the Euro. So I'll leave you there. This is a primer on exchange rates. It can get a little bit confusing because you're talking for the price of a currency in terms of another currency. But I encourage you to keep thinking about things. Keep doing these little thought experiments in your head, and thinking about, okay, if a Euro is equal to more than a dollar, if something's worth a certain number of Euros, it should be a larger number in terms of dollars. Similarly, if a dollar is less than one Euro, if something costs a certain number of dollars, it should be a smaller number in terms of Euros.",economics-finance-domain_ap-macroeconomics_ap-open-economy-international-trade-and-finance
" -  So, let's talk about viral replication. Since we know that viruses are made of only proteins and one type of nucleic acid, which means they have no organelles to make copies of themselves with, they have to get inside other cells in order to use their ATP and their organelles to make copies of themselves. So first step, get inside that cell. And I'm just going to mention a few things for review. So remember, there are three ways of getting into a cell. One of the ways of getting in is that bacterial phages, they literally just inject their genetic material inside of the cell. Whereas every other type of virus uses one of two ways. If they're non-enveloped they trick the cell's receptors into letting them in. Or if they're enveloped they can either use that receptor trick, or they directly fuse with the membrane. And once that genetic material is inside of the cell, the virus has hacked in, and it's ready to do a takeover. But here's where it makes a choice. It's kind of either impatient and ready to get going to copy itself, or it sits back and says, ""You know what? ""I'd rather sit and wait until I'm ready ""to take over."" So let's just draw these two possibilities out to see what happens. And with the first choice, the impatient virus goes ahead and takes over the cell's machinery. Their ATP, ribosomes, nucleic acids, amino acids, to start making copies of the virus's genetic material, which again, can be RNA or DNA. And also, the virus's proteins to make their protein coat. And these will self-assemble. That means they just come together on their own to form fully functional viruses. And because it keeps making more and more and more of these, it will eventually force the cell to lyse, or break open, and once it breaks open, all of these viruses are released into the environment. And if there are other cells nearby, then this army can start marching out to infect, to hack into those nearby cells, and create more armies. So this makes a lot of sense if you have a lot of hosts around, and your goal is to just create the biggest army in the fastest way possible. And so that's the impatient virus. So what about the other option? The other option is where the virus decides it's just going to sneak in and hitch a ride. It thinks that the bacteria seems to be doing fine on its own, maybe there aren't other hosts nearby, so there's no reason to kill off the host, because lysing it would kill the host, so we don't want that. We're just gonna keep the host alive. And in order to sneak in and let the bacteria do its thing while it's waiting, it's going to combine with the host's genetic information, so that the host really can't tell that it's there. It's basically quietly sitting there because it's repressed. There are repressor genes on this virus. So it's not expressed, it's not transcribed. So it's not doing anything. And this is called a provirus, or you might also hear the word prophage. And again, because it's not doing anything, this is called a dormant or latent phase. So the bacteria just does its own thing, it continues replicating, and of course the virus is already there. So it will continue to replicate. So it will replicate when the bacteria does, because it's part of its genome. But about one in 10,000 times that this happens, or if something happens like the bacteria is exposed to UV light or something. Well, in any case, there's something that weakens that repressor gene that we talked about on that virus. So it's no longer quiet. And the host's genome, like most other genomes, will start wanting to repair itself. That means it will cut out to try to repair its genome, it will excise out part of its DNA that just happens to be the virus. And now, the virus is active. It's ready to make copies of itself, lyse the cell, and get its army out into infecting other cells. So the official terms for the impatient method is the lytic cycle. And the hitch a ride method is called the lysogenic cycle. So now, you should have a good idea of what the lytic and lysogenic cycles are in viral replication.",science_high-school-biology_hs-human-body-systems
