feature,label
"Muscle cells need to quickly convert energy from food molecules into a usable form. For this reason, which of the following do muscle cells have in greater numbers than most other types of cells? (A) chromosomes (B) mitochondria (C) nuclei (D) vacuoles",MITO
Many different plant and animal species live in the Amazon rainforest. Which is the most likely result of large areas of deforestation in the Amazon rainforest? (A) an increase in animal populations (B) a decrease in oxygen production (C) an increase in precipitation (D) a decrease in pollutants,TREES
Which of the following is a significant source of energy in the Earth's interior? (A) volcanoes (B) convection (C) molten rock (D) radioactive isotopes,internal heat
"A species of moth in England has both a light-colored form and a dark-colored form. In the mid-1800s, the percentage of dark-colored moths increased in areas where black soot from factories covered the trees. The soot in these areas has decreased in more recent times as a result of pollution laws. Which of the following statements describes what has most likely happened to the moth populations in these areas? (A) The moth populations went extinct. (B) The moth populations migrated south. (C) The percentage of light-colored moths in the populations decreased. (D) The percentage of dark-colored moths in the populations decreased.",NATSEL
"In a lab investigation, a student notes that two metal blocks have the same mass. Based on this observation, if the two blocks were put on opposite sides of a balance, they would best represent (A) balanced forces. (B) unbalanced forces. (C) equal and opposite reactions. (D) objects in motion.",BALANCED
The temperatures in space vary from extremely cold to extremely hot. Earth's surface temperature is relatively stable. Which of these is most responsible for Earth's surface temperatures? (A) solar radiation reflected from the Moon (B) many volcanic eruptions near the Ring of Fire (C) the greenhouse effect in the atmosphere (D) plankton distribution in shallow ocean waters,atmosphere
Which of the following is an example of sex-linked inheritance? (A) diabetes (B) cystic fibrosis (C) hemophilia (D) albinism,GENETIC
A group of students have decided that the amount of electricity used by the school should be reduced. The students want to develop a plan to solve this problem. What should the group do first? (A) determine what materials should be used to implement the plan (B) conduct research on energy conservation to form the plan (C) improve the design of the plan (D) test the validity of the plan,STEPS
"Sometimes, large meteoroids enter the atmosphere of Earth and reach the ground. Scientists identify possible impact sites when they find (A) carbon deposits. (B) volcanic materials. (C) strike-slip faults. (D) bowl-shaped craters.",METEOR
Which species have been on the Earth for the shortest amount of time? (A) Humans (B) Insects (C) Fish (D) Reptiles,LIFE
