feature,label
Which of these factors causes water to evaporate the fastest? (A) high temperatures (B) high humidity (C) slow winds (D) slow runoff,EVAPoration
Which skill is a scientist using when sorting rocks into two groups based on physical appearance?    (A) inferring (B) classifying (C) generalizing (D) hypothesizing,CLASS
Which most accurately describes all behavior? (A) All behavior is affected only by experience. (B) All behavior is affected only by inheritance. (C) All behavior is affected neither by experience nor inheritance. (D) All behavior is affected by both experience and inheritance.,BEHAV
"According to a pH scale, which pH would be the strongest acid? (A) 3 (B) 6 (C) 9 (D) 12",PH
"When zinc and copper are melted together, brass is formed. Brass is an example of (A) a solute. (B) an element. (C) a mineral. (D) a mixture.",ALLOYS
"A light bulb manufacturer claims its light bulb is ""twice as bright"" per unit of electrical energy consumed as the leading light bulb. If this claim is correct, what factor must be accurately compared between the two bulbs? (A) how much each bulb weighs (B) how long each bulb lasts (C) how much heat each bulb releases (D) how much metal each bulb contains",GENERICPROP
"In a lab investigation, students had to identify different mineral specimens. Which property is the most reliable for identifying one mineral from another? (A) texture (B) hardness (C) crystal shape (D) surface color",observation
Clouds and precipitation moved across western Massachusetts one evening. The temperature changed from 41°F to 28°F. Which of the following changes in precipitation most likely occurred on this evening? (A) sleet changing to hail (B) snow changing to rain (C) rain changing to sleet (D) snow changing to hail,MODELS
"Appearance, texture, and density are classified as (A) physical properties. (B) chemical properties. (C) magnetic properties. (D) thermal properties.",properties of objects
Sydney is learning about the sources of energy that can run out. Which energy source will run out the fastest? (A) flowing water (B) natural gas (C) sunlight (D) wind,NATGAS
A student slides an object down a ramp. The student states that friction is causing the object to slide slowly. Another possible explanation for the slow movement is that the (A) incline of the ramp is small. (B) surface of the ramp is smooth. (C) object is round and polished. (D) pull of gravity on the object is weak.,INFERENCE
What is the best way to model the effect of wind on sand dunes? (A) Pour a bucket a sand through the air. (B) Pour water over a pile of sand. (C) Filter sand through a screen into water. (D) Blow on a pile of sand through a straw.,DEPOSITION
A model of Earth would be different from a model of the Moon because the Moon model would be (A) shinier (B) heavier (C) smaller (D) rougher,SIZES
What allows a light bulb to give off light? (A) the current flowing through the wire to the light bulb (B) the light bulb giving electrical energy to the battery (C) the light bulb generating heat energy (D) the battery pushing light through the wire,interaction
A sample of an unknown substance takes the shape of its container. Which question needs to be answered to provide the additional information required to determine the state of the sample? (A) Is it transparent? (B) Is it a hazardous sample? (C) What is the temperature of the substance? (D) Will it expand to the volume of a larger container?,STATES
"Ocean currents, like the Gulf Stream, affect world climate by (A) spreading plant and animal Life_over a wider area. (B) ensuring ocean density is not the same globally. (C) carrying sediment from rivers and inland basins. (D) transferring heat to and from various regions.",CLIMATE
Which has the greatest effect on wind speed? (A) precipitation (B) cloud cover (C) wind direction (D) air pressure,BAROPRESSURE
What is the source of fuels such as coal and natural gas? (A) once-living organisms (B) cold-water oceans (C) erupting volcanoes (D) forest fires,NATGAS
During which process do animals increase in size? (A) breathing (B) growing (C) shedding (D) repairing,DEF
"Lemon juice turns litmus paper red, is corrosive and tastes sour. Lemon juice is classified as (A) an acid. (B) a base. (C) an element. (D) More information is needed to classify lemon juice.",acids and bases
A student is dissolving sugar in water to make candy. She notices that sugar lumps are forming at the bottom of the pan. What could she do to help more of the sugar dissolve? (A) heat the solution (B) cool the solution (C) add more sugar to the pan (D) take some water out of the pan,SOLUBILITY
A windstorm knocks down many trees in a national park. Timber companies want to get rid of the fallen trees. How would this most likely harm the park ecosystem? (A) reduces the risk of fire (B) decreases _erosion problems (C) increases the risk of drought (D) removes available nutrients,TREES
Which cooking tool changes the environment least? (A) gas grill (B) electric fry pan (C) microwave oven (D) solar cooker,SOLAR
What is significant about the discovery of water on Mars? (A) It proves there is Life_on Mars. (B) It provides evidence there may be Life_on Mars. (C) It proves there was an advanced civilization on Mars. (D) It provides evidence of an advanced civilization on Mars.,cycles
"To calculate the relative age of rocks, geologists use the rate of radioactive decay of isotopes present in their samples. What is the term used for the original amount of the elemental isotopes being investigated?  (A) rare earth isotopes (B) son isotopes (C) daughter isotopes (D) parent isotopes",ROCK
