feature,label
Which statement is true about the particles of a liquid compared to the particles of a gas? (A) Particles of a liquid are a slower and further apart. (B) Particles of a liquid are faster and farther apart. (C) Particles of a liquid are slower and closer together. (D) Particles of a liquid are faster and closer together.,atomic
"In 2005, a team of scientists discovered a photosynthetic bacteria living near the molten lava of a thermal vent ecosystem deep in the Pacific Ocean. The bacteria lived 2400 meters below the surface of the ocean, yet made energy from photosynthesis. Which conclusion best explains the results? (A) Photosynthesis can occur without light. (B) The hydrothermal vent emits usable light. (C) High water pressure can power photosynthesis. (D) The bacteria used to live at the ocean's surface.",INFERENCE
Which two Life_processes occur in both plants and humans? (A) growing and reproducing (B) germinating and making food (C) growing and making food (D) germinating and reproducing,plant  cycle
A duck's feathers are covered with a natural oil that keeps the duck dry. This is a special feature ducks have that helps them (A) feed their young (B) adapt to their environment (C) attract a mate (D) search for food,SKININTERGUM
Beakers and graduated cylinders are designed to measure (A) mass. (B) density. (C) volume. (D) viscosity.,GRADUATED
Which sequence represents the order of development for many plants? (1) seed develops inside fruit -> seed is dispersed -> seed germinates -> plant grows (2) seed is dispersed -> seed develops inside fruit -> seed germinates -> plant grows (3) seed germinates -> plant grows -> seed is dispersed -> seed develops inside fruit (4) seed is dispersed -> plant grows -> seed germinates -> seed develops inside fruit,plant  cycle
Which gas is released by producers that consumers take in to survive? (A) oxygen (B) nitrogen (C) water vapor (D) carbon dioxide,PHOTOSYNTH
Which process allows green plants to control the amount of water stored in their leaves? (A) photosynthesis (B) condensation (C) respiration (D) transpiration,PLANT
A glacier retreats leaving bare rocks. Lichens begin to live on the rocks. The lichens produce an acid that starts to break down the rocks. How will this process affect the environment? (A) It will put acid into the lakes and ponds. (B) It will begin the process of building soil. (C) It will prevent the carbon cycle from occurring. (D) It will prevent bacteria from invading the ecosystem.,SUCCESSION
"According to the fossil record, the first horses were smaller than modern species. Throughout time, horses have gradually changed (A) to become better hunters. (B) in order to re-populate the Earth. (C) in response to an altering environment. (D) to become useful for humans.",CAMO
Plankton are tiny ocean organisms. The role of one type of plankton is to use the energy from the Sun to produce food that other animals eat. Which organism has the same role in the ocean as this type of plankton? (A) seaweed (B) turtle (C) dolphin (D) crab,plant producers
During which change of state do the particles of a substance move from being tightly packed together to having more freedom of movement? (A) a solid becoming a liquid (B) a gas becoming a solid (C) a gas becoming a liquid (D) a liquid becoming a solid,MELTING
Four rods of equal thickness but made of different metals were tested with equal amounts of weight to see which was most flexible. Which of the following is the best way to report the results of this experiment? (A) a list of each type of rod used (B) a sketch of each rod before testing (C) a table showing how much each rod weighed (D) a bar graph showing how much each rod bent,GRAPH
A few types of birds live in the same ecosystem. Which of these characteristics would most likely affect how they compete with each other for food? (A) the types of nests they build (B) the lengths of their tails (C) the shapes of their beaks (D) the colors of their feathers,HUNTING
Which of the following is the primary difference between hydraulic and pneumatic systems? (A) Hydraulic systems are under pressure and pneumatic systems are not. (B) Hydraulic systems involve liquids and pneumatic systems involve gases. (C) Hydraulic systems are open systems and pneumatic systems are closed systems. (D) Hydraulic systems involve fluids in motion and pneumatic systems involve fluids at rest.,OTHER
"If a single-celled organism that uses photosynthesis has its source of light removed, it will (A) grow in size. (B) produce less energy. (C) divide repeatedly. (D) generate more waste.",UNIMULTICELL
A greenhouse is used as a model of the atmosphere. Which of the following cannot be demonstrated by the model? (A) energy used to evaporate water (B) changes in greenhouse gases (C) light energy trapped as heat energy (D) energy that builds up in the greenhouse air,MODELS
Improvements in geological observation technologies have made it easier for scientists to locate resources in Earth's crust. These technologies have allowed for an increase in availability of which resource? (A) wind power (B) solar energy (C) fossil fuel (D) tidal energy,FOSSILFUEL
A student found a worm under some leaves and wrote observations about the worm in a notebook. Which is a fact that could be found in the student's notebook? (A) The worm feels cold. (B) The worm is a heterotroph. (C) The worm has 33 segments. (D) The worm has a four-chambered heart.,observation
"Recently the telephone company announced the implementation of a new telephone area code for Massachusetts. What technological changes are responsible for the need for a new area code? (A) the increased size of the telephone book (B) the increase in use of modems, fax machines, and cellular phones (C) the increase in use of speed dialing and call waiting (D) the increased demand for telephone repairs and installation",OTHER
A snail's shell provides the snail with (A) food. (B) energy. (C) protection. (D) transportation.,STRUCT
"In the heart there is a group of specialized cells that regulates the frequency of the heartbeat. During strenuous exercise, the group of cells will most likely (A) cause the arteries to expand. (B) decrease the heart rate. (C) increase the heart rate. (D) send fewer signals.",animal
Weather stations built in urban areas can be influenced by the human-made structures that surround these stations. Some of these weather stations used to determine mean temperatures in the United States have had the validity of the data questioned. Which human-produced effect could these urban weather stations be measuring?  (A) heat island (B) rain shadow (C) land breeze (D) cold front,MODELS
