feature,label
Which generates waves that are capable of traveling through a vacuum? (A) a light bulb (B) a speaker (C) earthquake activity (D) volcanic eruption,GENERICPROP
What products are produced during photosynthesis? (A) chloride and sugar (B) oxygen and sugar (C) nitrogen and sugar (D) carbon dioxide and sugar,PHOTOSYNTH
Which is an example of kinetic energy? (A) a book sitting on a shelf (B) a ball rolling down a hill (C) a runner about to start a race (D) a window getting hot from the sun,POTENTIALKINETIC
Which of the following items is necessary in a laboratory for safety purposes? (A) Triple-beam balance (B) Metric ruler (C) Computer monitor (D) Fire extinguisher,EQUIP
"Muscle cells need to quickly convert energy from food molecules into a usable form. For this reason, which of the following do muscle cells have in greater numbers than most other types of cells? (A) chromosomes (B) mitochondria (C) nuclei (D) vacuoles",MITO
Many different plant and animal species live in the Amazon rainforest. Which is the most likely result of large areas of deforestation in the Amazon rainforest? (A) an increase in animal populations (B) a decrease in oxygen production (C) an increase in precipitation (D) a decrease in pollutants,TREES
Which color baseball cap would absorb the most light on a sunny day? (A) pink (B) black (C) white (D) yellow,ABSORPTION
The following are inherited traits of humans except (A) long hair. (B) blue eyes. (C) long eyelashes. (D) small dimples.,inheritance
Signs in many stores and restaurants warn that microwaves are in use. What is the main reason for this warning? (A) Some people do not like food cooked in microwave ovens. (B) Microwaves sometimes affect people's sense of sight. (C) Microwaves sometimes cause hair or teeth to fall out. (D) Some people have pacemakers that may be affected by microwaves.,DEVICE
"A species of moth in England has both a light-colored form and a dark-colored form. In the mid-1800s, the percentage of dark-colored moths increased in areas where black soot from factories covered the trees. The soot in these areas has decreased in more recent times as a result of pollution laws. Which of the following statements describes what has most likely happened to the moth populations in these areas? (A) The moth populations went extinct. (B) The moth populations migrated south. (C) The percentage of light-colored moths in the populations decreased. (D) The percentage of dark-colored moths in the populations decreased.",NATSEL
"Many things can contribute to the development of a theory. A student made a list of some things that might help scientists develop a theory. Observations Calculations Conversations Publications From the student's list, which must be used in the development of every theory? (A) Observations (B) Conversations (C) Publications and calculations (D) Calculations and conversations",observation
Which subatomic particles are involved in the nuclear fusion that powers the Sun? (A) protons and neutrons (B) electrons and protons (C) only protons (D) only electrons,STELLAR
Which characteristic is an example of learned behavior? (A) a bear hibernating in the winter (B) a spider spinning a web in a tree (C) a butterfly migrating to the south (D) a dog scratching at a door to go out,ACQUIRED
An engineer is analyzing which areas in a city might become flooded if there are heavy rains. Which of the following maps is best to use for this analysis? (A) a map showing the routes of city buses (B) a map showing the locations of streets (C) a map showing the locations of houses (D) a map showing the elevations of ground surfaces,MODELS
