feature,label
Which statement is true about the particles of a liquid compared to the particles of a gas? (A) Particles of a liquid are a slower and further apart. (B) Particles of a liquid are faster and farther apart. (C) Particles of a liquid are slower and closer together. (D) Particles of a liquid are faster and closer together.,atomic
Which skill is a scientist using when sorting rocks into two groups based on physical appearance?    (A) inferring (B) classifying (C) generalizing (D) hypothesizing,CLASS
Which most accurately describes all behavior? (A) All behavior is affected only by experience. (B) All behavior is affected only by inheritance. (C) All behavior is affected neither by experience nor inheritance. (D) All behavior is affected by both experience and inheritance.,BEHAV
"In 2005, a team of scientists discovered a photosynthetic bacteria living near the molten lava of a thermal vent ecosystem deep in the Pacific Ocean. The bacteria lived 2400 meters below the surface of the ocean, yet made energy from photosynthesis. Which conclusion best explains the results? (A) Photosynthesis can occur without light. (B) The hydrothermal vent emits usable light. (C) High water pressure can power photosynthesis. (D) The bacteria used to live at the ocean's surface.",INFERENCE
Beakers and graduated cylinders are designed to measure (A) mass. (B) density. (C) volume. (D) viscosity.,GRADUATED
"A light bulb manufacturer claims its light bulb is ""twice as bright"" per unit of electrical energy consumed as the leading light bulb. If this claim is correct, what factor must be accurately compared between the two bulbs? (A) how much each bulb weighs (B) how long each bulb lasts (C) how much heat each bulb releases (D) how much metal each bulb contains",GENERICPROP
"In a lab investigation, students had to identify different mineral specimens. Which property is the most reliable for identifying one mineral from another? (A) texture (B) hardness (C) crystal shape (D) surface color",observation
Which gas is released by producers that consumers take in to survive? (A) oxygen (B) nitrogen (C) water vapor (D) carbon dioxide,PHOTOSYNTH
Clouds and precipitation moved across western Massachusetts one evening. The temperature changed from 41°F to 28°F. Which of the following changes in precipitation most likely occurred on this evening? (A) sleet changing to hail (B) snow changing to rain (C) rain changing to sleet (D) snow changing to hail,MODELS
Which process allows green plants to control the amount of water stored in their leaves? (A) photosynthesis (B) condensation (C) respiration (D) transpiration,PLANT
Sydney is learning about the sources of energy that can run out. Which energy source will run out the fastest? (A) flowing water (B) natural gas (C) sunlight (D) wind,NATGAS
A student slides an object down a ramp. The student states that friction is causing the object to slide slowly. Another possible explanation for the slow movement is that the (A) incline of the ramp is small. (B) surface of the ramp is smooth. (C) object is round and polished. (D) pull of gravity on the object is weak.,INFERENCE
What is the best way to model the effect of wind on sand dunes? (A) Pour a bucket a sand through the air. (B) Pour water over a pile of sand. (C) Filter sand through a screen into water. (D) Blow on a pile of sand through a straw.,DEPOSITION
A glacier retreats leaving bare rocks. Lichens begin to live on the rocks. The lichens produce an acid that starts to break down the rocks. How will this process affect the environment? (A) It will put acid into the lakes and ponds. (B) It will begin the process of building soil. (C) It will prevent the carbon cycle from occurring. (D) It will prevent bacteria from invading the ecosystem.,SUCCESSION
A model of Earth would be different from a model of the Moon because the Moon model would be (A) shinier (B) heavier (C) smaller (D) rougher,SIZES
"According to the fossil record, the first horses were smaller than modern species. Throughout time, horses have gradually changed (A) to become better hunters. (B) in order to re-populate the Earth. (C) in response to an altering environment. (D) to become useful for humans.",CAMO
What allows a light bulb to give off light? (A) the current flowing through the wire to the light bulb (B) the light bulb giving electrical energy to the battery (C) the light bulb generating heat energy (D) the battery pushing light through the wire,interaction
A sample of an unknown substance takes the shape of its container. Which question needs to be answered to provide the additional information required to determine the state of the sample? (A) Is it transparent? (B) Is it a hazardous sample? (C) What is the temperature of the substance? (D) Will it expand to the volume of a larger container?,STATES
During which change of state do the particles of a substance move from being tightly packed together to having more freedom of movement? (A) a solid becoming a liquid (B) a gas becoming a solid (C) a gas becoming a liquid (D) a liquid becoming a solid,MELTING
