feature,label
Which of these factors causes water to evaporate the fastest? (A) high temperatures (B) high humidity (C) slow winds (D) slow runoff,EVAPoration
"According to a pH scale, which pH would be the strongest acid? (A) 3 (B) 6 (C) 9 (D) 12",PH
Which two Life_processes occur in both plants and humans? (A) growing and reproducing (B) germinating and making food (C) growing and making food (D) germinating and reproducing,plant  cycle
"When zinc and copper are melted together, brass is formed. Brass is an example of (A) a solute. (B) an element. (C) a mineral. (D) a mixture.",ALLOYS
A duck's feathers are covered with a natural oil that keeps the duck dry. This is a special feature ducks have that helps them (A) feed their young (B) adapt to their environment (C) attract a mate (D) search for food,SKININTERGUM
Which sequence represents the order of development for many plants? (1) seed develops inside fruit -> seed is dispersed -> seed germinates -> plant grows (2) seed is dispersed -> seed develops inside fruit -> seed germinates -> plant grows (3) seed germinates -> plant grows -> seed is dispersed -> seed develops inside fruit (4) seed is dispersed -> plant grows -> seed germinates -> seed develops inside fruit,plant  cycle
"Appearance, texture, and density are classified as (A) physical properties. (B) chemical properties. (C) magnetic properties. (D) thermal properties.",properties of objects
Plankton are tiny ocean organisms. The role of one type of plankton is to use the energy from the Sun to produce food that other animals eat. Which organism has the same role in the ocean as this type of plankton? (A) seaweed (B) turtle (C) dolphin (D) crab,plant producers
"Ocean currents, like the Gulf Stream, affect world climate by (A) spreading plant and animal Life_over a wider area. (B) ensuring ocean density is not the same globally. (C) carrying sediment from rivers and inland basins. (D) transferring heat to and from various regions.",CLIMATE
"Lemon juice turns litmus paper red, is corrosive and tastes sour. Lemon juice is classified as (A) an acid. (B) a base. (C) an element. (D) More information is needed to classify lemon juice.",acids and bases
"Camels have humps on their backs that store fat, allowing them to survive for many days without food. This makes camels well suited to desert life. This characteristic is an example of (A) adaptation. (B) instinct. (C) migration. (D) hibernation.",FAT
Which is not a major controversial issue associated with the use of nuclear power? (A) the disposal of nuclear waste products (B) the health hazards in areas surrounding nuclear plants (C) the thermal pollution of water bodies used for cooling (D) the unemployment due to conversion to nuclear power,NUCLEAR
