,feature,label
3159,Utah State Aggies Dog Tag with Silencer Keychain Cheer on your favorite team with this Dog Tag with Silencer keychain! Keep your team and your keys at hand with this Utah State Aggies keychain. Featuring acrylic overlay printed team graphics and a rubber silencer	 itís the perfect way to show your love for the Utah State Aggies everywhere you go!,personal accessories personal accessories personal carriers/accessories
6826,"The Reveal Collection Style: C5 REVEAL, NEW LINE, C5, REALCORE, PLYBOO, BAMBOO, DECROTAVIE,",building products building products lumber/wood panel/gypsum
5050,"Purdue Boilermakers Structured Long Sleeve T-Shirt ñ Black Celebrate your Purdue Boilermakers fandom with this Structured long sleeve T-shirt. No one can match your top-notch Purdue Boilermakers style, so add another piece to the wardrobe with this tee, which features printed team graphics on the front chest. When your Purdue Boilermakers dominates another opponent, youíll want to make sure you represent them properly in this tee!",clothing clothing upper body wear/tops
6309,Trapano a Colonna FOX F12-941,tools/equipment ñ power tools/equipment ñ power power tools ñ stationary/bench-top
5388,"David Ortiz Boston Red Sox 2013 World Series Champions Autographed 16'' x 20'' Green Monster Photograph This 2013 World Series 16'' x 20'' photograph has been personally hand-signed by David Ortiz. It is officially licensed and authenticated by Major League Baseball and comes with an individually numbered, tamper-evident hologram from Fanatics Authentic. To ensure authenticity, the hologram can be reviewed online. This process helps to ensure that the product purchased is authentic and eliminates any possibility of duplication or fraud.",audio visual/photography photography/optics photography
2358,"Mens Seattle Seahawks Majestic Navy Blue Synthetic Hoodie Sweatshirt Celebrate your Seattle Seahawks fandom with this Synthetic sweatshirt! This hoodie has printed Seattle Seahawks graphics so you can boast your team spirit. Featuring a hood with drawstrings and a front pouch pocket, this sweatshirt from Majestic will keep you looking cool while showing your love for the Seattle Seahawks.",clothing clothing upper body wear/tops
1632,Women's Army Black Knights Black Blitz Football Jersey Cheer on the Army Black Knights in this Blitz Football jersey! As the teamís most supportive fan youíll be expected to exude your US Military Academy West Point pride. This mesh knit jersey features printed Army Black Knights graphics so there will be no doubts that your team pride runs deep!,clothing clothing upper body wear/tops
7346,'47 Brand San Francisco 49ers Cleanup Basic Adjustable Hat - Black Cap off your game-day look with this 49ers Cleanup adjustable hat from í47 Brand. This hat features the team logo embroidered on the crown.,clothing clothing clothing accessories
2006,"Georgetown Hoyas All-American Secondary Pullover Hoodie - Navy Blue Every Hoyas game is different for a die-hard fanatic like you. There's always that exciting charge from the crowd as you watch your unbeatable team dominate the opposition, but every game has a new enthusiasm and anticipation about it. Most of the time, they soundly defeat their opponents	 occasionally, they have to rally for the win. Either way, the excitement can be overwhelming! Throw on this All-American hoodie for the next game and add even more excitement to game day. This hoodie features a custom team graphic that includes a scripted school name with a tailsweep in a distressed print on the front and a super soft feel to keep you comfy as you jump up and down cheering for the Hoyas.",clothing clothing upper body wear/tops
4392,"Indiana Pacers Antigua Traverse Full Zip Bonded Jacket ñ Navy Blue Celebrate your Indiana Pacers fandom with this Traverse full zip bonded jacket from Antigua! Indiana Pacers fans need a vacation just like everybody else, so the next time you take a trip to the cabin by the lake, bring this jacket along. Itís got two front pockets, one vertical chest pocket, an embroidered Indiana Pacers logo and polyester lining to keep you warm.",clothing clothing upper body wear/tops
6985,"Saris 1051 Sentinel 2 Bike Car Trunk Mount Bicycle Racks The Saris 1051 Sentinel 2 bike trunk mounted bicycle racks are an economical choice for transporting your bikes on the trunk of your vehicle. The Saris 1051 Sentinel 2 bike trunk mounted bicycle racks have a 6 strap attachment system with plastic coated hooks providing protection and compatibility with a wide variety of vehicles. The Saris 1051 Sentinel 2 bike trunk mounted bicycle racks come completely assembled and ready to go - right out of the box. The Saris 1051 Sentinel 2 bike trunk mounted bicycle racks cradle design securely holds up to 2 bikes. The Saris 1051 Sentinel 2 bike trunk mounted bicycle racks have the capability to fold flat for compact and convenient storage. If you're unsure of which Saris Sentinel bicycle rack is compatible with your vehicle, check out the Saris Fit Guide or contact our customer service staff.",automotive automotive accessories and maintenance automotive cargo management
3437,"Dale Earnhardt Jr. Chase Authentics Straightaway T-Shirt ñ White Cheer on your favorite NASCAR driver in this Straightaway tee! You love sitting in the front row of the stands as Dale Earnhardt Jr. leaves his competition in the dust. Featuring bold Dale Earnhardt Jr. graphics, this tee by Chase Authentics is the perfect way of showing everyone that youíre rootiní for the winner of the race.",clothing clothing upper body wear/tops
